sample_alias	file_stable_id	archive_ebi_fullpath
gonl-4a	EGAF00000516175	/fire/A/ega/vol1/EGAR00001190106/fastq/110128_I198_FC819P9ABXX_L6_HUMjxbRRODIAAPE_1.fq.gz.gpg
gonl-4a	EGAF00000516176	/fire/A/ega/vol1/EGAR00001190106/fastq/110128_I198_FC819P9ABXX_L6_HUMjxbRRODIAAPE_2.fq.gz.gpg
gonl-4a	EGAF00000516177	/fire/A/ega/vol1/EGAR00001190106/fastq/110124_I205_FC81989ABXX_L2_HUMjxbRRODIABPE_1.fq.gz.gpg
gonl-4a	EGAF00000516178	/fire/A/ega/vol1/EGAR00001190106/fastq/110124_I205_FC81989ABXX_L2_HUMjxbRRODIABPE_2.fq.gz.gpg
gonl-4a	EGAF00000516179	/fire/A/ega/vol1/EGAR00001190106/fastq/110213_I290_FC81EPHABXX_L2_HUMjxbRRODIABPE_1.fq.gz.gpg
gonl-4a	EGAF00000516180	/fire/A/ega/vol1/EGAR00001190106/fastq/110213_I290_FC81EPHABXX_L2_HUMjxbRRODIABPE_2.fq.gz.gpg
gonl-4b	EGAF00000516181	/fire/A/ega/vol1/EGAR00001190107/fastq/110125_I160_FC819HUABXX_L5_HUMjxbRRPDIAAPE_1.fq.gz.gpg
gonl-4b	EGAF00000516182	/fire/A/ega/vol1/EGAR00001190107/fastq/110125_I160_FC819HUABXX_L5_HUMjxbRRPDIAAPE_2.fq.gz.gpg
gonl-4b	EGAF00000516183	/fire/A/ega/vol1/EGAR00001190107/fastq/110213_I290_FC81EW2ABXX_L2_HUMjxbRRPDIAAPE_1.fq.gz.gpg
gonl-4b	EGAF00000516184	/fire/A/ega/vol1/EGAR00001190107/fastq/110213_I290_FC81EW2ABXX_L2_HUMjxbRRPDIAAPE_2.fq.gz.gpg
gonl-4b	EGAF00000516185	/fire/A/ega/vol1/EGAR00001190107/fastq/110125_I312_FC819GHABXX_L8_HUMjxbRRPDIABPE_1.fq.gz.gpg
gonl-4b	EGAF00000516186	/fire/A/ega/vol1/EGAR00001190107/fastq/110125_I312_FC819GHABXX_L8_HUMjxbRRPDIABPE_2.fq.gz.gpg
gonl-4c	EGAF00000516187	/fire/A/ega/vol1/EGAR00001190108/fastq/110124_I315_FC8197VABXX_L3_HUMjxbRRQDIAAPE_1.fq.gz.gpg
gonl-4c	EGAF00000516188	/fire/A/ega/vol1/EGAR00001190108/fastq/110124_I315_FC8197VABXX_L3_HUMjxbRRQDIAAPE_2.fq.gz.gpg
gonl-4c	EGAF00000516189	/fire/A/ega/vol1/EGAR00001190108/fastq/110125_I160_FC819A6ABXX_L8_HUMjxbRRQDIABPE_1.fq.gz.gpg
gonl-4c	EGAF00000516190	/fire/A/ega/vol1/EGAR00001190108/fastq/110125_I160_FC819A6ABXX_L8_HUMjxbRRQDIABPE_2.fq.gz.gpg
gonl-4c	EGAF00000516191	/fire/A/ega/vol1/EGAR00001190108/fastq/110428_I205_FCB013PABXX_L7_HUMjxbRRQDIABPE_1.fq.gz.gpg
gonl-4c	EGAF00000516192	/fire/A/ega/vol1/EGAR00001190108/fastq/110428_I205_FCB013PABXX_L7_HUMjxbRRQDIABPE_2.fq.gz.gpg
gonl-5a	EGAF00000516423	/fire/A/ega/vol1/EGAR00001190148/fastq/101009_I247_FC803UBABXX_L7_HUMcriRDGDIAAPE_1.fq.gz.gpg
gonl-5a	EGAF00000516424	/fire/A/ega/vol1/EGAR00001190148/fastq/101009_I247_FC803UBABXX_L7_HUMcriRDGDIAAPE_2.fq.gz.gpg
gonl-5a	EGAF00000516425	/fire/A/ega/vol1/EGAR00001190148/fastq/101009_I247_FC803UBABXX_L8_HUMcriRDGDIABPE_1.fq.gz.gpg
gonl-5a	EGAF00000516426	/fire/A/ega/vol1/EGAR00001190148/fastq/101009_I247_FC803UBABXX_L8_HUMcriRDGDIABPE_2.fq.gz.gpg
gonl-5a	EGAF00000516427	/fire/A/ega/vol1/EGAR00001190148/fastq/101009_I189_FC80A86ABXX_L1_HUMcriRDGDIBAPE_1.fq.gz.gpg
gonl-5a	EGAF00000516428	/fire/A/ega/vol1/EGAR00001190148/fastq/101009_I189_FC80A86ABXX_L1_HUMcriRDGDIBAPE_2.fq.gz.gpg
gonl-5a	EGAF00000516429	/fire/A/ega/vol1/EGAR00001190148/fastq/101020_I263_FC80AF9ABXX_L5_HUMcriRDGDIAAPE_1.fq.gz.gpg
